,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
257,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
258,HP,Window,DDR4,8,AMD,AMD,1,14.0,SSD,512,49990
259,DELL,Window,DDR4,8,Intel,NVIDIA,1,15.6,SSD,512,67990
260,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,194991
261,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,44991
262,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,58001
263,Infinix,Window,Others,8,Intel,Others,1,14.0,SSD,256,29991
264,ASUS,Window,Others,16,AMD,Others,1,15.6,SSD,1024,114990
265,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,33991
266,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
267,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
268,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,64991
269,Lenovo,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,79990
270,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
271,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
272,Infinix,Window,Others,8,Intel,Others,1,14.0,SSD,256,28991
273,ASUS,Window,DDR4,8,AMD,Others,1,15.6,SSD,512,56990
274,HP,Window,DDR4,16,AMD,AMD,1,14.0,SSD,512,81990
275,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,1024,129991
276,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
277,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
278,DELL,Window,DDR4,8,AMD,Others,1,15.6,HDD,1024,38990
279,HP,Window,DDR4,16,AMD,Others,1,15.6,HDD,1024,79990
280,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
281,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
